id,name,address,locality,latitude,longitude,cuisines,average_cost_for_two,aggregate_rating,rating_text,votes,all_reviews_count,photo_count,has_online_delivery
19068167,Prince Park Farm House,"Auroville Road, Chinna Kattu Kuppam, Villupuram, Auroville, Puducherry",Auroville,11.965349,79.824696,South Indian,800,0,Not rated,0,0,0,0
3701094,The Square Meal,"Inside Hotel Ginger, Karuvadikuppam, Muthialpet, Muthial Pet, Puducherry",Muthial Pet,11.95240736,79.82947446,"North Indian, Continental",700,0,Not rated,3,2,2,0
19359389,Shawarma Corner,"15, 4th Cross Street, Victoria Nagar, Near Oulgaret Municipality, Puducherry",Villianur,11.93011,79.804108,"Lebanese, Chinese, Biryani, Beverages, Rolls",250,0,Not rated,2,2,3,1
3700251,Shree Pandian Hotel,"9, Villianur Main Road, Victoria Nagar, Villianur, Puducherry",Villianur,11.93163222,79.80442129,South Indian,100,0,Not rated,2,0,2,0
19011998,Winner Food Company,"120, 2nd Main Road, Cauvery Nagar, Reddiarpalayam, Gandhinagar, Puducherry",Gandhinagar,11.9291513,79.79755953,Biryani,200,0,Not rated,1,0,0,0
3701212,Yellow Point,"Villianur Main Road, Gundu Salai Road, Natesan Nagar, Villianur, Puducherry",Villianur,11.931478,79.805795,Fast Food,150,0,Not rated,1,0,0,0
3700699,Reddiar Hotel,"Church Complex, Vallianur Main Road, Villianur, Puducherry",Villianur,11.93083182,79.79477037,"South Indian, Street Food",150,0,Not rated,0,0,4,0
3700242,Nalas,"17, Velayudham Complex, Natesan Nagar, Villianur, Puducherry",Villianur,11.93164468,79.8075407,South Indian,350,0,Not rated,1,0,2,0
3700633,Kovai Restaurant,"35, Ellaipillaichavady Main Road, 100 Feet Road, Puducherry, Gandhinagar, Puducherry",Gandhinagar,11.9350352,79.80684198,South Indian,200,0,Not rated,1,1,7,0
3701122,Restro Bar Pergola,"100 Feet Road, Near Indira Gandhi Square, Gandhinagar, Puducherry",Gandhinagar,11.93191695,79.80806306,Drinks Only,500,0,Not rated,3,0,2,0
3700266,Paradise Corner,"217,Vazhudavur Road, Gandhinagar, Puducherry",Gandhinagar,11.937375,79.797425,"Bakery, Desserts, Fast Food",150,0,Not rated,2,0,4,0
18899260,Samudra,"4, 100 Feet Road, Near IG Statue, Natesan Nagar, Lawspet, Puducherry",Lawspet,11.92789164,79.80745252,"Chinese, Continental",250,0,Not rated,2,0,15,0
3701075,Aarya Coffee Bar,"100 Feet Road, Ellaipillaichavady, Gandhinagar, Puducherry",Gandhinagar,11.9354951,79.80747532,Beverages,150,0,Not rated,0,0,1,0
3700493,Hotel Annalakshmi,"35, Ellaipillaichavady, Gandhinagar, Puducherry",Gandhinagar,11.93554398,79.80752293,"Tamil, South Indian",250,0,Not rated,10,0,2,0
19312361,Veeras Biryani,"5, 100 Feet Road, Ellaipillaichavady",Gandhinagar,11.935677,79.807834,"North Indian, Chinese",300,0,Not rated,9,5,0,1
3700230,New Madras,"No 181, Villianur Main Road, Opposite Election Office, Reddiarpalyam, Villianur, Puducherry",Villianur,11.930714,79.792561,"Street Food, Chinese, Biryani",250,0,Not rated,0,0,3,0
3701091,French Resto Bar,"35, Ellaiillaichavady Main Road, 100 Feet Road, Near North.T Mahal Gandhinagar",Gandhinagar,11.93627384,79.8085016,"Continental, Finger Food",1000,0,Not rated,1,0,1,0
18929340,Glacier Cafe,"70, Kamalam Nagar, Jaya Nagar Main Road, Reediyarpalayam, Gandhinagar, Puducherry",Gandhinagar,11.93121299,79.791888,"Fast Food, Desserts",100,0,Not rated,2,0,0,0
19336098,Sri Vidhya Bhavan,"72, Kamalam Nagar, Jaya Nagar, Reddiarpalayam, Gandhinagar, Puducherry",Gandhinagar,11.93108352,79.79160399,"South Indian, Chinese",150,0,Not rated,0,0,0,1
3701078,Hotel Vijay Bhavan,"82, Vazhudhavur Road V.V.P Nagar, Gandhinagar, Puducherry",Gandhinagar,11.94148351,79.80387446,South Indian,50,0,Not rated,2,0,2,0
3700287,Aruna Unavagam,"7, Praba Complex, Mohan Nagar, Gandhinagar, Puducherry",Gandhinagar,11.93917588,79.80826322,South Indian,100,0,Not rated,0,0,2,0
3701080,Madurai Sri Muniyandi Vilas,"119, Vazhudhavur Road, Ghandhinagar, Gandhinagar, Puducherry",Gandhinagar,11.94183023,79.80034065,South Indian,200,0,Not rated,1,0,0,0
3700119,Sri Lakshmi Cafe,"No 43, Lawspet Road, Near Kamaraj Salai, Lawspet, Puducherry",Lawspet,11.94025,79.80686111,South Indian,150,0,Not rated,0,0,3,0
3700262,French Corner Delight,"123, Opposite Revenue Office, Vazhudavur Road, Gandhinagar, Puducherry",Gandhinagar,11.94183351,79.80013009,"Bakery, Desserts, Fast Food",200,0,Not rated,3,0,2,0
3700968,Vitamin Corner,"D112, Villianoor Road, Opposite Water Tank, Mudaliarpet",Mudaliarpet,11.9225905,79.8069317,"Fast Food, Beverages",200,0,Not rated,3,0,0,0
3701079,Suvai Virumbi,"108, Vazhudhavur Road, Kavundanpalayam, Gandhinagar, Puducherry",Gandhinagar,11.94191846,79.8015976,Beverages,100,0,Not rated,0,0,0,0
19275364,Paradise Dum Biryani - Hot Spot,"199, Vazhudavur Road, Thilawspet, Gandhinagar, Puducherry",Gandhinagar,11.94189823,79.79835142,"Biryani, North Indian, Chinese, Beverages",350,0,Not rated,5,1,0,1
3700268,Ameer Mahal Hotel,"210, Vazhudavur Road, Gandhinagar, Puducherry",Gandhinagar,11.94162751,79.79713172,South Indian,100,0,Not rated,0,0,4,0
3701077,Vendhar,"54, Vazhudhavur Road, Pettiachathiram, Gandhinagar, Puducherry",Gandhinagar,11.94164293,79.80526384,South Indian,200,0,Not rated,1,0,2,0
19321337,Mint O Mint,"6, East Coast Road, Opposite Amudasurabhi Petrol Bunk, Lawspet, Puducherry",Lawspet,11.950967,79.816011,"South Indian, Biryani",300,0,Not rated,7,0,0,1
19327044,Breezy Cafe,"1, ECR Road, Kottaimedu, Kottukuppam, Puducherry",Kottukuppam,11.950053,79.814739,"Fast Food, North Indian, Beverages",200,0,Not rated,2,2,0,0
19137750,My Kitchen Cafe,"33, St Rosario Street, Muthial Pet, Puducherry",Muthial Pet,11.954961,79.834135,Cafe,300,0,Not rated,0,0,0,0
19440848,Le Food Mount,"448, Ambedkar Nagar, Airport Road, Lawspet, Puducherry",Lawspet,11.955661,79.809619,Chinese,300,0,Not rated,0,0,0,0
3701112,Happy Fast Food,"4, ECR Main Road, Opposite Latha Steel, Kottupalayam, Lawspet, Puducherry",Lawspet,11.94846599,79.81309891,Biryani,200,0,Not rated,1,0,1,0
18946720,Suvai Virundhagam,"151 M.G. Road, Muthial Pet, Puducherry",Muthial Pet,11.94838202,79.81301039,South Indian,200,0,Not rated,0,0,0,0
3701111,Hotel Sri Guruvayur,"2, Airport Road, Kottupalayam, Lawspet, Puducherry",Lawspet,11.94847649,79.81274184,South Indian,150,0,Not rated,0,0,1,0
3700121,Hotel Sri Amutha,"No 15, Airport Road, Selvivinayagar Koil Street, Kottupalayam, Lawspet, Puducherry",Lawspet,11.94842138,79.81260572,South Indian,150,0,Not rated,3,0,2,0
3701109,SS Fast Food,"152, Lawspet Main Road, Pakkamudayanpet, Puducherry",Lawspet,11.9481078,79.81077947,South Indian,150,0,Not rated,2,0,1,0
